MRPL15	MRPS24	1
HARS2	MRPL57	1
EARS2	QRSL1	1
EARS2	HARS2	1
CAD	DHODH	1
TWNK	HARS2	1
NDUFB8	NDUFS2	1
MTHFD1	PAICS	1
MRPL47	MRPS6	1
MRPL39	MRPS24	1
MRPL18	MRPS11	1
MRPL15	MRPL32	1
LARS2	MRPL20	1
HARS2	MRPS24	1
EARS2	MRPS25	1
NDUFA6	NDUFC1	1
NDUFA2	NDUFC1	1
MRPL15	MTG2	1
MARS2	MRPL46	1
NDUFC1	NDUFS8	1
MRPS6	PTCD3	1
MRPL21	MRPS14	1
MRPL20	MRPS6	1
MRPL10	MRPS11	1
LARS2	MRPL46	1
RNASEH2A	RNASEH2C	1
NDUFB8	NDUFC1	1
NDUFA6	NDUFS5	1
MRPL57	MRPS24	1
MRPL15	MRPS14	1
FARS2	MARS2	1
NDUFAF1	NDUFC1	1
NDUFA6	NDUFAF4	1
MRPS14	MRPS24	1
LARS2	MRPL43	1
HARS2	MRPL21	1
TWNK	MRPL39	1
UFL1	UFM1	1
STX4	STXBP3	1
OCLM	ZNF99	1
NDUFA10	NDUFS8	1
NDUFA10	NDUFS2	1
MTG1	MRM3	1
MRPS11	MRPS18B	1
MRPL28	MTG2	1
MRPL18	MRPL21	1
MRPL10	MRPL57	1
MBTPS1	SCAP	1
FOXRED1	NDUFS5	1
NDUFB6	NDUFS5	1
MRPS11	MRPS24	1
MRPL43	MRPS14	1
MRPL43	MRPS12	1
MRPL39	MRPS11	1
MRPL21	MRPS24	1
MARS2	YARS2	1
EARS2	MTG2	1
NDUFA2	NDUFA11	1
MRPS6	RARS2	1
MRPS25	SSBP1	1
MRPL43	TRUB2	1
MRPL23	MRPL47	1
MRPL17	MRPS6	1
COX4I1	UQCRC2	1
OCLM	RNF19A	1
NDUFC1	NDUFS1	1
NDUFA11	NDUFC1	1
MTG1	MTG2	1
MRPS12	TFB1M	1
MRPS11	MRPS14	1
MRPL40	MRPS6	1
MRPL39	MRPS16	1
MRPL18	MRPL32	1
TWNK	KIAA0391	1
ADSL	ATIC	1
NDUFA11	NDUFS8	1
NCAPD3	NCAPG2	1
MRPL33	MRPS11	1
MRPL15	MRPL21	1
KIAA0391	MARS2	1
EARS2	MRPS24	1
EARS2	MRPL21	1
MRPS16	MRPS24	1
MRPL20	MRPS25	1
MRPL18	MRPL39	1
KIAA0391	QRSL1	1
FARS2	MRPL39	1
EARS2	MRPS12	1
COX4I1	PET117	1
AARS2	MRPS6	1
MRPS11	YARS2	1
MRPL39	MRPS12	1
MRPL33	MRPL57	1
MRPL17	MRPS24	1
MRPL16	MRPL57	1
MRPL15	MRPL57	1
MARS2	MRPL16	1
LRPPRC	MRPS24	1
HARS2	MRPL15	1
SSBP1	TFB1M	1
MRPL43	MRPS11	1
MRPL23	MTG2	1
MRPL21	MRPL43	1
MRPL17	MRPL57	1
MRPL16	MRPS14	1
MARS2	MRPS18B	1
LRPPRC	MRPL17	1
LARS2	MRPL39	1
LARS2	MRPL15	1
KIAA0391	MRPL46	1
FARS2	MRPL23	1
FARS2	MRPL20	1
DET1	COP1	1
TWNK	MRPS24	1
NDUFB10	NDUFS8	1
NDUFAF4	NDUFB8	1
NDUFAF4	NDUFB10	1
MRPS6	MTPAP	1
MRPS17	SSBP1	1
MRPL43	MRPL57	1
MARS2	MRPL18	1
LARS2	QRSL1	1
EARS2	MRPL46	1
CYC1	NDUFB6	1
TWNK	GFM1	1
TADA1	TAF6L	1
NDUFB6	NDUFV2	1
NDUFA2	NDUFB2	1
NDUFA11	NDUFB3	1
NDUFA10	NDUFC1	1
MRPS6	MTG1	1
MRPL15	MTERF3	1
NDUFB3	NDUFV2	1
NDUFB10	NDUFS5	1
NDUFA8	NDUFAF4	1
MTG1	TFB1M	1
MRPS6	WARS2	1
MRPS6	MRPS18B	1
MRPL21	MRPS16	1
KIAA0391	MRPL43	1
HARS2	MRPL17	1
FARS2	HARS2	1
EARS2	NARS2	1
TWNK	MRPS12	1
NDUFA6	TIMMDC1	1
MRPL39	MRPS14	1
MRPL23	MRPL39	1
MRPL21	MRPL39	1
MRPL16	MRPL46	1
MRPL14	MRPL15	1
MARS2	MRPS14	1
KIAA0391	MRPL39	1
EARS2	POLG	1
BCS1L	UQCRC2	1
ADSL	GMPS	1
RGP1	RIC1	1
MRPL39	MRPL57	1
MRPL20	MTG2	1
MRPL20	MRPL23	1
FARS2	MRPS16	1
FAM200B	OCLM	1
EARS2	VARS2	1
EARS2	MRPS11	1
COA6	DARS2	1
AARS2	TWNK	1
MRPL38	MRPL57	1
MRPL21	MRPL33	1
MRPL16	MRPL43	1
MALSU1	MRPL18	1
FARS2	MRPL15	1
NDUFAF1	NDUFS5	1
MTG2	TRUB2	1
MRPL18	MRPL57	1
MARS2	MRPL39	1
EARS2	MRPL16	1
ATP5F1B	ATP5ME	1
MRPL33	MRPS23	1
MRPL17	MRPS11	1
LRPPRC	MRPL18	1
LARS2	MRPS24	1
EARS2	MRPL10	1
TWNK	MARS2	1
BCS1L	UQCRB	1
MRPS12	MRPS24	1
MRPL17	MRPL43	1
MRPL16	MRPS11	1
MARS2	MRPL17	1
LARS2	SSBP1	1
GART	MTHFD1	1
EARS2	MRPS16	1
COX4I1	CYC1	1
NDUFB2	NDUFC1	1
MRPS6	VARS2	1
MRPS25	VARS2	1
MRPL18	MRPS24	1
MRPL16	MRPS18C	1
MRPL15	MTPAP	1
MRPL10	MRPL18	1
LARS2	MTPAP	1
LARS2	MTG1	1
HARS2	RARS2	1
HARS2	LRPPRC	1
FOXRED1	NDUFS8	1
EXT1	EXT2	1
TWNK	MRPL20	1
POLE3	POLE4	1
NDUFA8	PET117	1
NDUFA6	NDUFA11	1
NDUFA11	NDUFB10	1
NDUFA10	NDUFA11	1
MRPS6	POLG	1
MRPL47	TFB1M	1
MRPL20	TRUB2	1
MRPL10	MTG2	1
LRPPRC	MRPL43	1
LARS2	MRPS2	1
HARS2	MRPL23	1
EXT2	EXTL3	1
COA7	PET117	1
TWNK	MTG2	1
ATIC	MTHFD1	1
ASNA1	WRB	1
PAGR1	PAXIP1	1
NDUFA11	NDUFAF4	1
MRPL16	MRPL23	1
MRPL10	MRPL21	1
MARS2	MRPS23	1
MARS2	MRPL32	1
LRPPRC	MRPS11	1
KIAA0391	MRPS24	1
KIAA0391	MRPS14	1
HARS2	LARS2	1
GTPBP8	MTG1	1
GFM1	MRPL20	1
VPS18	VPS33A	1
PSTK	SEPSECS	1
MRPS6	QRSL1	1
MRPS25	TFB1M	1
MRPL15	MRPS31	1
EARS2	YARS2	1
MRPS11	MRPS23	1
MRPL33	MRPL43	1
MRPL20	SSBP1	1
LRPPRC	MRPL39	1
LRPPRC	MRPL21	1
KIAA0391	VARS2	1
HARS2	MTG2	1
FOXRED1	PET117	1
CCDC6	FBXO42	1
TWNK	RARS2	1
TWNK	POLG	1
NDUFB6	TIMMDC1	1
NDUFB6	PET117	1
MRPS6	TFAM	1
MRPL46	MRPS18C	1
MRPL39	MTG2	1
MRPL18	MRPL43	1
MRPL10	MRPS14	1
MRPL10	MRPL33	1
GFM1	MRPS6	1
FARS2	MRPL21	1
TWNK	QRSL1	1
AARS2	LARS2	1
NDUFB10	TIMMDC1	1
NDUFAF1	NDUFV2	1
MRPS6	TRUB2	1
MRPS17	MRPS33	1
MRPL43	MTPAP	1
MRPL39	MRPS25	1
MRPL23	MTPAP	1
MRPL23	MRPL46	1
MRPL21	YARS2	1
MRPL15	MRPS12	1
LARS2	MARS2	1
GTPBP10	MTERF3	1
FOXRED1	NDUFS2	1
FAM200B	SULT1E1	1
EARS2	MRPL47	1
DDX28	GTPBP10	1
CARS2	COA7	1
AARS2	MARS2	1
NDUFS1	UQCRC2	1
NDUFB8	NDUFS8	1
NDUFB3	NDUFB8	1
NDUFAF1	NDUFB10	1
MTHFD1	PPAT	1
MRPS11	MRPS22	1
MRPS10	MRPS18C	1
MRPL40	MRPL57	1
MRPL23	TFB1M	1
MRPL18	MRPS5	1
MRPL16	YARS2	1
MRPL10	MRPL39	1
HARS2	YARS2	1
HARS2	MRPS16	1
GATC	MARS2	1
NDUFB6	NDUFS8	1
MRPL15	MRPL41	1
MRPL15	MRPL28	1
MRPL15	MRPL20	1
MARS2	MRPL23	1
KIAA0391	MRPL23	1
HARS2	MRPL40	1
EARS2	TFB1M	1
EARS2	MRPL18	1
NDUFA2	NDUFA6	1
NDUFA10	NDUFB8	1
MRPL43	MRPL46	1
MRPL33	MRPS18B	1
MRPL16	MTG2	1
MARS2	TFAM	1
LARS2	MRPL21	1
KIAA0391	MRPL21	1
HARS2	MRPS12	1
COA7	DARS2	1
AARS2	MRPL15	1
SSBP1	TRUB2	1
MRPS6	MRPS22	1
MRPS12	TRUB2	1
MRPL43	MTG1	1
MRPL20	MRPS17	1
MRPL15	YARS2	1
MRPL15	MRPL33	1
LARS2	MRPS14	1
HARS2	MRPL18	1
FOXRED1	NDUFAF5	1
COA6	UQCRC2	1
POLRMT	SSBP1	1
NDUFAF1	NDUFB6	1
NDUFA8	NDUFB2	1
NDUFA2	NDUFS8	1
MRPL18	MRPS14	1
MRPL15	MRPS18B	1
MRPL14	MRPS6	1
MRPL10	MRPL23	1
EARS2	SARS2	1
EARS2	RARS2	1
EARS2	MRPL57	1
EARS2	MRPL20	1
DDX28	MRM3	1
DDX28	MRPS6	1
CYC1	NDUFS2	1
TWNK	MRPL15	1
MRPS6	YARS2	1
MRPS6	TARS2	1
MRPS25	NARS2	1
MRPS12	PTCD3	1
MRPL57	YARS2	1
MRPL23	MRPS24	1
MRPL21	MRPS23	1
MRPL20	TFB1M	1
MRPL20	MRPS2	1
MRPL15	MTG1	1
MRPL15	MRPS16	1
LARS2	POLRMT	1
EARS2	MTPAP	1
EARS2	GFM1	1
DDX28	MTG1	1
COA7	MRPS6	1
TWNK	MRPL40	1
UQCRB	UQCRC1	1
NDUFB2	NDUFB6	1
NDUFA6	NDUFS2	1
NDUFA2	NDUFB10	1
NCAPD3	NCAPH2	1
MIPEP	MRPL15	1
LARS2	POLG	1
FOXRED1	NDUFB3	1
EARS2	MRPL55	1
UFL1	UFSP2	1
NDUFAF1	NDUFS1	1
MTPAP	SUPV3L1	1
MTG1	POLG	1
MRPS12	MTG2	1
MRPL47	SSBP1	1
MRPL39	MRPL47	1
MRPL2	MRPL15	1
MRPL23	MTG1	1
MRPL23	MRPL57	1
MRPL17	MRPL46	1
MRPL10	YARS2	1
LARS2	MRPS16	1
KCMF1	UBR4	1
FOXRED1	NDUFB10	1
FARS2	MRPS14	1
AARS2	KIAA0391	1
SARS2	TRUB2	1
SARS2	SSBP1	1
NDUFC1	TIMMDC1	1
NDUFC1	PET117	1
MRPS17	MRPS25	1
MRPL43	MRPS16	1
MRPL39	MRPL46	1
MRPL21	RARS2	1
MRPL15	MRPL49	1
MRPL14	MRPL21	1
MRPL10	MRPL16	1
LARS2	MTG2	1
LARS2	MRPS17	1
HARS2	QRSL1	1
HARS2	MRPL33	1
EARS2	MRPL33	1
COA6	MRPS16	1
TWNK	MRPL21	1
NDUFB4	NDUFB6	1
NDUFB2	NDUFS2	1
NDUFA8	TIMMDC1	1
MTHFD1	PFAS	1
MRPS6	MRPS23	1
MRPS22	MRPS24	1
MRPL55	MRPS6	1
MRPL43	TFB1M	1
MRPL38	MRPS11	1
MRPL32	MRPS11	1
MRPL20	NARS2	1
MRPL17	MRPL18	1
MRPL10	MRPL17	1
MARS2	RARS2	1
LARS2	SARS2	1
KIAA0391	NARS2	1
FPGS	PPAT	1
FARS2	VARS2	1
COX6C	CYC1	1
NDUFB4	NDUFS2	1
NDUFB3	NDUFS8	1
NDUFAF3	NDUFAF4	1
NDUFA6	NDUFAF1	1
NDUFA10	NDUFAF1	1
MRPS2	MRPS6	1
MRPS24	MTPAP	1
MRPL43	SARS2	1
MRPL23	MRPS14	1
MRPL18	TFAM	1
MRPL18	MRPS22	1
MRPL18	MRPS16	1
KIAA0391	MTG2	1
GFM1	MRPS17	1
FPGS	PFAS	1
TWNK	MRPL55	1
NDUFB8	TIMMDC1	1
MRPS6	SARS2	1
MRPL43	MRPS2	1
MRPL43	MRPL48	1
MARS2	POLG	1
MARS2	MRPS5	1
LRPPRC	MARS2	1
LARS2	TRUB2	1
LARS2	MRPS12	1
FOXRED1	NDUFA6	1
FOXRED1	NDUFA11	1
CYC1	PET117	1
TWNK	PTCD3	1
TWNK	MRPS16	1
AARS2	FARS2	1
TFB1M	TRUB2	1
MRPS6	MTERF3	1
MRPS6	MRPS18C	1
MRPS6	MRPS17	1
MRPS5	MRPS11	1
MRPL57	MRPS14	1
MRPL21	MTPAP	1
MRPL18	MTPAP	1
MRPL15	MRPL55	1
MALSU1	MRM3	1
HARS2	KIAA0391	1
CYC1	UQCR10	1
COA7	SCO2	1
COA6	COX4I1	1
CARS2	DARS2	1
ACAD9	FOXRED1	1
UBA5	UFL1	1
SLC25A26	SSBP1	1
NDUFB4	NDUFC1	1
NDUFA8	NDUFB4	1
NDUFA2	NDUFB3	1
NDUFA10	NDUFB3	1
MTG2	SARS2	1
MRPS6	SSBP1	1
MRPS24	RARS2	1
MRPS17	NARS2	1
MRPL47	MRPS25	1
MRPL43	MRPS25	1
MRPL41	MRPL57	1
MRPL23	MRPS12	1
MRPL21	MRPL41	1
MRPL20	MRPL47	1
MRPL20	MRPL28	1
MRPL18	MRPL23	1
MALSU1	MRPL15	1
LRPPRC	MRPL10	1
LARS2	SLC25A26	1
HARS2	PET117	1
HARS2	MRPS22	1
FARS2	MRPL46	1
EARS2	MRPS2	1
AARS2	MRPL23	1
UBE2H	WDR26	1
NDUFAF4	NDUFS8	1
NDUFAF1	NDUFS8	1
NDUFA8	NDUFAF5	1
NDUFA10	NDUFB2	1
NARS2	VARS2	1
NARS2	SSBP1	1
MRPS14	MTG2	1
MRPS14	MRPS25	1
MRPL41	MRPS6	1
MRPL3	MRPL15	1
MRPL38	MRPS6	1
MRPL21	MRPL23	1
MRPL20	POLRMT	1
MRPL20	MRPL39	1
MRPL15	TFAM	1
MED23	MED24	1
MARS2	MTPAP	1
GTPBP8	MRM3	1
EMC2	EMC6	1
TWNK	SARS2	1
TWNK	NARS2	1
ABHD13	OCLM	1
TFB1M	WARS2	1
MRPS24	WARS2	1
MRPL41	MRPL43	1
MRPL40	MRPL43	1
MARS2	MRPL55	1
LRPPRC	MRPS12	1
KIAA0391	MRPS16	1
KIAA0391	MRPL20	1
FARS2	MRPS12	1
EARS2	MRPL28	1
EARS2	MRPL14	1
CYC1	UQCRFS1	1
COX4I1	NDUFB10	1
ADSL	PPAT	1
NDUFB3	NDUFB9	1
NDUFAF1	PET117	1
NDUFA6	PET117	1
NARS2	QRSL1	1
MRPS6	NARS2	1
MRPS16	MTG2	1
MRPS14	MRPS16	1
MRPL55	MRPS14	1
MRPL43	POLG	1
MRPL43	MRPS18B	1
MRPL43	MRPL47	1
MRPL39	MRPL40	1
MRPL38	MRPL40	1
MRPL15	MRPS2	1
LARS2	MRPL28	1
KIAA0391	LRPPRC	1
GTPBP10	MALSU1	1
GFM1	MRPL47	1
GFM1	MRPL43	1
DDX28	GTPBP8	1
CNEP1R1	CTDNEP1	1
ALG6	ALG8	1
NDUFB6	NDUFS1	1
NDUFB4	NDUFV2	1
MRPS14	MTPAP	1
MRPS14	MRPS18C	1
MRPL47	NARS2	1
MRPL43	QRSL1	1
MRPL21	MTG2	1
MRPL16	MRPL34	1
MRPL15	MRPS10	1
HARS2	MRPS14	1
GFM1	MRPL39	1
FARS2	MRPS25	1
FARS2	MRPL47	1
EARS2	MRPS23	1
EARS2	LRPPRC	1
DDX28	MRPL23	1
BCS1L	COA6	1
NDUFAF4	NDUFS1	1
NDUFA10	NDUFS7	1
MRPS16	MRPS25	1
MRPL43	RARS2	1
MRPL39	MTPAP	1
MRPL34	MRPS6	1
MRPL32	MRPS6	1
MRPL32	MRPL39	1
MRPL18	MRPL41	1
MRPL16	MRPS18B	1
MRPL15	TFB1M	1
LARS2	NSUN4	1
KIAA0391	MTPAP	1
KIAA0391	MRPL18	1
GTPBP8	TFB1M	1
GNPDA2	SULT1E1	1
FOXRED1	NDUFS1	1
FARS2	MRPS18B	1
NDUFAF1	NDUFAF5	1
NDUFA8	NDUFAF7	1
MRPS2	MRPS25	1
MRPS11	RPUSD4	1
MRPS11	RARS2	1
MRPL55	MRPS16	1
MRPL33	MRPS22	1
MRPL33	MRPS14	1
MRPL33	MRPL39	1
MRPL28	MRPS6	1
MRPL21	MRPL57	1
MRPL18	MTG2	1
MRPL18	MRPS18B	1
MRPL17	MRPL40	1
MRPL16	MRPL32	1
LRPPRC	MRPL41	1
LRPPRC	MRPL32	1
KIAA0391	MRPS11	1
FARS2	QRSL1	1
FARS2	MTG2	1
EARS2	PTCD3	1
CYC1	UQCRC2	1
CARS2	MTG1	1
TWNK	MTPAP	1
AARS2	HARS2	1
NSUN4	TFB1M	1
NDUFB2	NDUFV2	1
NDUFA8	NDUFS7	1
MRPS18B	MRPS22	1
MRPS14	RARS2	1
MRPS12	QRSL1	1
MRPS12	MRPS16	1
MRPL39	RARS2	1
MRPL20	MRPS12	1
MRPL15	MRPS23	1
MRPL15	MRPS22	1
MRPL14	MRPS11	1
MRPL12	MRPS6	1
MALSU1	MRPL16	1
KIAA0391	RARS2	1
HARS2	POLG	1
FPGS	GART	1
WDR26	YPEL5	1
NDUFB9	NDUFS5	1
NDUFAF4	NDUFS5	1
MRPL32	MRPL46	1
MRPL23	TRUB2	1
MRPL18	MRPL33	1
MRPL16	MRPS24	1
MRPL16	MRPL39	1
MRPL10	MRPS24	1
MAU2	NIPBL	1
FOXRED1	NDUFAF7	1
FARS2	MRPL18	1
COA6	SCO2	1
ADSL	PFAS	1
OCLM	TAS2R10	1
NDUFAF4	TIMMDC1	1
NDUFAF4	NDUFAF7	1
MRPS24	PTCD3	1
MRPL55	MTG2	1
MRPL43	PTCD3	1
MRPL23	NARS2	1
MRPL23	MRPS25	1
MRPL20	MTG1	1
MARS2	TARS2	1
HARS2	UQCRC2	1
GFM1	POLRMT	1
