Sanger_ID	Name	Tissue
SIDM00446	OCI-AML2	Haematopoietic and Lymphoid
SIDM00462	OCI-AML3	Haematopoietic and Lymphoid
SIDM00460	OCI-LY-19	Haematopoietic and Lymphoid
SIDM00241	OCUB-M	Breast
SIDM00478	OE21	Esophagus
SIDM00477	OE33	Esophagus
SIDM00457	OPM-2	Haematopoietic and Lymphoid
SIDM00565	OSC-20	Head and Neck
SIDM01141	OV-90	Ovary
SIDM00967	OVCA420	Ovary
SIDM00091	OVCAR-5	Ovary
SIDM00090	OVCAR-8	Ovary
SIDM00238	OVK-18	Ovary
SIDM00455	PA-TU-8902	Pancreas
SIDM00453	PA-TU-8988T	Pancreas
SIDM01138	PANC-03-27	Pancreas
SIDM01137	PANC-04-03	Pancreas
SIDM01136	PANC-08-13	Pancreas
SIDM01135	PANC-10-05	Pancreas
SIDM00237	PC-14	Lung
SIDM00270	PCI-15A	Head and Neck
SIDM00044	PCI-30	Head and Neck
SIDM00155	PCI-38	Head and Neck
SIDM00043	PCI-4B	Head and Neck
SIDM00473	PE-CA-PJ15	Head and Neck
SIDM00472	PEO1	Ovary
SIDM00471	PEO4	Ovary
SIDM00469	PSN1	Pancreas
SIDM00819	RCC-FG2	Kidney
SIDM00359	RCM-1	Large Intestine
SIDM00354	RERF-LC-Sq1	Lung
SIDM00353	RKN	Soft Tissue
SIDM01090	RKO	Large Intestine
SIDM01088	RL95-2	Endometrium
SIDM00352	RMG-I	Ovary
SIDM00415	ROS-50	Haematopoietic and Lymphoid
SIDM00087	RPMI-8226	Haematopoietic and Lymphoid
SIDM00351	SAS	Head and Neck
SIDM01081	SCC-4	Head and Neck
SIDM01080	SCC-9	Head and Neck
SIDM00399	SCC90	Head and Neck
SIDM00382	SF126	Central Nervous System
SIDM01112	SJSA-1	Bone
SIDM00483	SK-GT-4	Esophagus
SIDM00082	SK-MEL-2	Skin
SIDM01103	SK-MES-1	Lung
SIDM01101	SK-N-AS	Peripheral Nervous System
SIDM01100	SK-N-DZ	Peripheral Nervous System
SIDM01099	SK-N-FI	Peripheral Nervous System
SIDM01098	SK-N-SH	Peripheral Nervous System
SIDM00375	SKN-3	Head and Neck
SIDM00373	SNG-M	Endometrium
SIDM01146	SNU-1	Stomach
SIDM01145	SNU-16	Stomach
SIDM00194	SNU-61	Large Intestine
SIDM00193	SNU-81	Large Intestine
SIDM01197	SNU-C1	Large Intestine
SIDM00498	SNU-C5	Large Intestine
SIDM00389	SU-DHL-10	Haematopoietic and Lymphoid
SIDM00406	SU-DHL-5	Haematopoietic and Lymphoid
SIDM01188	SU8686	Pancreas
SIDM00371	SUIT-2	Pancreas
SIDM01163	SW1573	Lung
SIDM00837	SW48	Large Intestine
SIDM01168	SW626	Large Intestine
SIDM00833	SW837	Large Intestine
SIDM00322	T-T	Esophagus
SIDM00419	TC-71	Bone
SIDM00349	TE-10	Esophagus
SIDM00250	TE-4	Esophagus
SIDM00347	TE-5	Esophagus
SIDM00326	TE-8	Esophagus
SIDM00325	TE-9	Esophagus
SIDM00324	TGW	Peripheral Nervous System
SIDM00040	TMK-1	Stomach
SIDM01170	TOV-112D	Ovary
SIDM01169	TOV-21G	Ovary
SIDM00321	TYK-nu	Ovary
SIDM00111	U251	Central Nervous System
SIDM01186	UACC-893	Breast
SIDM00815	UWB1.289	Ovary
SIDM00320	VMRC-LCD	Lung
SIDM00998	8-MG-BA	Central Nervous System
SIDM00799	A172	Central Nervous System
SIDM00210	A2780	Ovary
SIDM00903	A549	Lung
SIDM00850	AGS	Stomach
SIDM00492	AM-38	Central Nervous System
SIDM00490	Becker	Central Nervous System
SIDM00132	BxPC-3	Pancreas
SIDM00489	Ca9-22	Head and Neck
SIDM00933	CAL-51	Breast
SIDM00212	CAS-1	Central Nervous System
SIDM00910	CHP-212	Peripheral Nervous System
SIDM00142	COLO-684	Endometrium
SIDM00208	D-502MG	Central Nervous System
SIDM00207	D-542MG	Central Nervous System
SIDM00867	DBTRG-05MG	Central Nervous System
SIDM00947	DK-MG	Central Nervous System
SIDM01043	ESS-1	Endometrium
SIDM01055	GAMG	Central Nervous System
SIDM00581	GB-1	Central Nervous System
SIDM00273	GI-1	Central Nervous System
SIDM00884	HCC1395	Breast
SIDM00673	HCC70	Breast
SIDM00669	HPAF-II	Pancreas
SIDM00666	Hs-683	Central Nervous System
SIDM00632	IM-9	Haematopoietic and Lymphoid
SIDM00690	JHU-029	Head and Neck
SIDM00612	KINGS-1	Central Nervous System
SIDM00607	KNS-42	Central Nervous System
SIDM00684	LN-229	Central Nervous System
SIDM01220	LNZTA3WT4	Central Nervous System
SIDM00146	MDA-MB-231	Breast
SIDM00504	MOG-G-UVW	Central Nervous System
SIDM00259	NB10	Peripheral Nervous System
SIDM00254	NB5	Peripheral Nervous System
SIDM01124	NCI-H650	Lung
SIDM00575	NMC-G1	Central Nervous System
SIDM00574	no-10	Central Nervous System
SIDM00573	no-11	Central Nervous System
SIDM00566	OSC-19	Head and Neck
SIDM00105	OVCAR-3	Ovary
SIDM00564	OVISE	Ovary
SIDM00465	OVMIU	Ovary
SIDM01139	PANC-02-03	Pancreas
SIDM00115	PCI-6A	Head and Neck
SIDM00042	PL4	Pancreas
SIDM00358	RERF-GC-1B	Stomach
SIDM00383	SCH	Stomach
SIDM00084	SF295	Central Nervous System
SIDM00083	SF539	Central Nervous System
SIDM00379	SK-MG-1	Central Nervous System
SIDM01097	SK-PN-DW	Central Nervous System
SIDM00095	SNB75	Central Nervous System
SIDM00423	SU-DHL-8	Haematopoietic and Lymphoid
SIDM01155	SW1088	Central Nervous System
SIDM01165	SW1990	Pancreas
SIDM00097	T47D	Breast
